Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility_30d
2024-08-12 04:00:00+00:00,106.2804314115,111.0286636411,106.2204561817,108.9794235229,325559900,0.0,0.0,0.040763713141020785,0.7253880142530638
2024-08-13 04:00:00+00:00,112.3981514577,116.1867417074,111.5384709458,116.0967712402,312646700,0.0,0.0,0.06530909677462571,0.7517696929550586
2024-08-14 04:00:00+00:00,118.4858859934,118.5558596368,114.0275467671,118.0360565186,339246400,0.0,0.0,0.01670404144476767,0.7526261009581453
2024-08-15 04:00:00+00:00,118.7158050097,123.1941334845,117.4262841744,122.8142776489,318086700,0.0,0.0,0.04048102987536728,0.7499907887178194
2024-08-16 04:00:00+00:00,121.8946061805,124.9534645522,121.1348869806,124.5336227417,302589900,0.0,0.0,0.013999553844344037,0.7489422633376526
2024-08-19 04:00:00+00:00,124.2337567143,129.9516296387,123.3740760927,129.9516296387,318333600,0.0,0.0,0.04350637825928905,0.7574883123804038
2024-08-20 04:00:00+00:00,128.35220258,129.8316626966,125.8431423095,127.2026367188,300087400,0.0,0.0,-0.021153970346835527,0.7569424385150307
2024-08-21 04:00:00+00:00,127.2726177849,129.3018687303,126.6128673685,128.4521789551,257883600,0.0,0.0,0.009823241628727386,0.7532929428455079
2024-08-22 04:00:00+00:00,129.9716160825,130.7013401352,123.0541856306,123.6939468384,376189100,0.0,0.0,-0.03704282913225809,0.7433182328744459
2024-08-23 04:00:00+00:00,125.8131504338,129.5517637459,125.1733892778,129.3218383789,323230300,0.0,0.0,0.04549852021338241,0.7539077480320466
2024-08-26 04:00:00+00:00,129.5217841101,131.2111423153,124.3237148641,126.4129333496,331964700,0.0,0.0,-0.022493532923474224,0.7567554029207116
2024-08-27 04:00:00+00:00,125.0034677352,129.1519172792,123.8338973354,128.2522583008,303134600,0.0,0.0,0.014550132668097238,0.756083088459847
2024-08-28 04:00:00+00:00,128.0723157317,128.2822442923,122.5943593644,125.5632553101,448101100,0.0,0.0,-0.02096651572710151,0.7317832396098347
2024-08-29 04:00:00+00:00,121.3148353613,124.3836925273,116.6665643766,117.5462341309,453023300,0.0,0.0,-0.06384846553556289,0.7532862924179856
2024-08-30 04:00:00+00:00,119.4855132692,121.7046882715,117.176375423,119.3255767822,333751600,0.0,0.0,0.01513738542502785,0.7503001612393063
2024-09-03 04:00:00+00:00,115.9668214091,116.1667439153,107.2500659084,107.9598007202,477155100,0.0,0.0,-0.09525012464633198,0.7873196940171293
2024-09-04 04:00:00+00:00,105.3707735012,113.2278412495,104.0812526819,106.1704711914,372470300,0.0,0.0,-0.016574035121067032,0.7881719661559417
2024-09-05 04:00:00+00:00,104.950922377,109.6091916652,104.7210122499,107.1700973511,306850700,0.0,0.0,0.009415293616790166,0.7647567629163788
2024-09-06 04:00:00+00:00,107.9997929279,108.1097526006,100.9124275648,102.7917327881,413638100,0.0,0.0,-0.04085434903223073,0.7721401419091024
2024-09-09 04:00:00+00:00,104.8409619619,106.5103462007,103.6514100541,106.4303741455,273912000,0.0,0.0,0.03539819067843575,0.7793071122420352
2024-09-10 04:00:00+00:00,107.7698680772,109.3592802066,104.910932028,108.0597610474,268283700,0.0,0.0,0.01530941627314486,0.7797876033149171
2024-09-11 04:00:00+00:00,109.3492805366,117.1463801495,107.3800126205,116.8664855957,441422400,0.0,0.0,0.0814986491080334,0.7846751541915373
