Date,AAPL,AAPL_log_returns
2017-02-15,129.701187,0.003622511032511464
2017-02-16,129.54805,-0.0011813883780946728
2017-02-17,129.902206,0.0027300510350288573
2017-02-21,130.84021,0.007194901856223649
2017-02-22,131.232605,0.0029945516724291083
2017-02-23,130.67746,-0.0042392096032731145
2017-02-24,130.801926,0.0009520139335237245
2017-02-27,131.060333,0.0019736107437888775
2017-02-28,131.117783,0.00043825168779156065
2017-03-01,133.797699,0.020232924119923053
2017-03-02,133.003311,-0.005954927588108501
2017-03-03,133.788147,0.0058835336773555335
2017-03-06,133.367004,-0.003152799766543623
2017-03-07,133.539307,0.0012911124003759924
2017-03-08,133.04158,-0.0037341580182827863
2017-03-09,132.735291,-0.0023048592184948475
2017-03-10,133.175598,0.003311691402113772
2017-03-13,133.233002,0.0004309470556761561
2017-03-14,133.032028,-0.0015095789196608645
2017-03-15,134.439026,0.010520846701795886
2017-03-16,134.659134,0.0016358941219577377
2017-03-17,133.989166,-0.004987706148974468
2017-03-20,135.396149,0.010445972483300769
2017-03-21,133.845581,-0.011518163566523874
2017-03-22,135.357864,0.011235360738739698
2017-03-23,134.879257,-0.00354212995342577
2017-03-24,134.611282,-0.001988753217961441
2017-03-27,134.841019,0.0017052150218475213
2017-03-28,137.635849,0.020514974648294094
2017-03-29,137.942093,0.002222559061454478
2017-03-30,137.760239,-0.0013192055725768795
2017-03-31,137.501846,-0.0018774331081425647
2017-04-03,137.540146,0.00027850292945479153
2017-04-04,138.564255,0.007418307660361061
2017-04-05,137.84639,-0.0051942038193522775
2017-04-06,137.501846,-0.002502606770463653
2017-04-07,137.195557,-0.0022300110855431672
2017-04-10,137.032837,-0.0011867481461276127
2017-04-11,135.558868,-0.010814587081279315
2017-04-12,135.721542,0.0011993053202646118
2017-04-13,135.003723,-0.005302945642418113
2017-04-17,135.750275,0.005514628758734317
2017-04-18,135.147308,-0.004451630679556064
2017-04-19,134.649567,-0.003689750407211045
2017-04-20,136.334137,0.012433158714928493
2017-04-21,136.171432,-0.0011941408752229243
2017-04-24,137.482697,0.009583447840488651
2017-04-25,138.334549,0.006176950287673159
2017-04-26,137.520996,-0.005898415844518582
2017-04-27,137.626251,0.000765081288523527
2017-04-28,137.492264,-0.0009740312140983574
2017-05-01,140.296677,0.020191648161434983
2017-05-02,141.186783,0.006324413994949594
2017-05-03,140.756119,-0.003054975542135772
2017-05-04,140.248795,-0.003610787754398262
2017-05-05,142.574631,0.016447636362193718
2017-05-08,146.45105,0.02682565400279269
2017-05-09,147.389038,0.006384364995422308
2017-05-10,146.690308,-0.004751991762518956
2017-05-11,147.958923,0.008611071780009248
2017-05-12,150.025269,0.013869051965024857
2017-05-15,149.640854,-0.0025656234145972215
2017-05-16,149.419769,-0.001478529925186738
2017-05-17,144.402939,-0.034152007131481255
2017-05-18,146.60379,0.015126062341478874
2017-05-19,147.103546,0.0034030915884746223
2017-05-22,147.997375,0.006057803753183687
2017-05-23,147.814774,-0.0012345741972414562
2017-05-24,147.372681,-0.0029953395583178087
2017-05-25,147.882019,0.0034501635723153063
2017-05-26,147.632202,-0.00169072783478503
2017-05-30,147.68985,0.0003904076945275476
2017-05-31,146.815247,-0.0059394936119238646
2017-06-01,147.218903,0.002745641984658758
2017-06-02,149.400574,0.014710499556573668
2017-06-05,147.939713,-0.009826268543968165
2017-06-06,148.439484,0.0033725138522002263
2017-06-07,149.3237,0.00593907270313934
2017-06-08,148.958481,-0.002448816629171233
2017-06-09,143.182343,-0.03954867225687166
2017-06-12,139.76091,-0.024185766884875195
2017-06-13,140.885376,0.008013446629561908
2017-06-14,139.511017,-0.009803050542696931
2017-06-15,138.674835,-0.006011696945212063
2017-06-16,136.73349,-0.01409817335618944
2017-06-19,140.645081,0.028205858234151972
2017-06-20,139.366852,-0.009129881467285158
2017-06-21,140.193375,0.005913040042094861
2017-06-22,139.962753,-0.001646382349296232
2017-06-23,140.587418,0.004453150251596771
2017-06-26,140.145325,-0.0031495675262591095
2017-06-27,138.136642,-0.014436565244057224
2017-06-28,140.154953,0.014505262999710427
2017-06-29,138.088608,-0.014853051628622252
2017-06-30,138.415375,0.002363561989785935
2017-07-03,137.915588,-0.0036173112093375644
2017-07-05,138.482651,0.0041032373988134415
2017-07-06,137.175583,-0.009483321261785038
2017-07-07,138.569153,0.01010776767622408
2017-07-10,139.414871,0.006084670601538663
2017-07-11,139.866608,0.0032349971475194787
2017-07-12,140.068436,0.0014419633361161387
2017-07-13,142.01947,0.01383302913526513
2017-07-14,143.240021,0.008557530859080993
2017-07-17,143.739761,0.003482757577236357
2017-07-18,144.239548,0.003470995909489199
2017-07-19,145.14296,0.006243742520240072
